('ab', 'initio')
('hong', 'kong')
('remotely', 'sensed')
('inline', 'tex')
('amino', 'acid')
('permanent', 'magnet')
('minimally', 'invasive')
('singularly', 'perturbed')
('inverted', 'pendulum')
('carbon', 'nanotube')
('tex', 'tex')
('brief', 'announcement')
('traveling', 'salesman')
('visually', 'impaired')
('NAND', 'flash')
('license', 'plate')
('soil', 'moisture')
('instant', 'messaging')
('discontinuous', 'galerkin')
('south', 'africa')
('biologically', 'inspired')
('older', 'adult')
('past', 'present')
('monte', 'carlo')
('mit', 'hilfe')
('invited', 'talk')
('frequent', 'itemsets')
('simulated', 'annealing')
('thin', 'film')
('synthetic', 'aperture')
('nearest', 'neighbor')
('wind', 'turbine')
('cultural', 'heritage')
('formula', 'inline')
('ant', 'colony')
('bee', 'colony')
('ray', 'tracing')
('revised', 'selected')
('computed', 'tomography')
('named', 'entity')
('lesson', 'learned')
('nash', 'equilibrium')
('unmanned', 'aerial')
('mutual', 'exclusion')
('sense', 'disambiguation')
('background', 'subtraction')
('parkinson', 'disease')
('markovian', 'jump')
('alzheimer', 'disease')
('millimeter', 'wave')
('division', 'multiplexing')
('least', 'square')
('question', 'answering')
('magnetic', 'resonance')
('petri', 'net')
('conjugate', 'gradient')
('guest', 'editorial')
('CA', 'USA')
('pp', 'ISBN')
('voronoi', 'diagram')
('convex', 'hull')
('upper', 'limb')
('degree', 'freedom')
('disturbance', 'rejection')
('radial', 'basis')
('bridging', 'gap')
('collision', 'avoidance')
('job', 'shop')
('beitrag', 'zur')
('blood', 'vessel')
('echo', 'cancellation')
('rayleigh', 'fading')
('breast', 'cancer')
('garbage', 'collection')
('homomorphic', 'encryption')
('white', 'matter')
('california', 'USA')
('guest', 'editor')
('competitive', 'advantage')
('message', 'passing')
('letter', 'editor')
('obstacle', 'avoidance')
('zur', 'unterstützung')
('belief', 'revision')
('visible', 'light')
('aperture', 'radar')
('spiking', 'neuron')
('conservation', 'law')
('verfahren', 'zur')
('prostate', 'cancer')
('recent', 'advance')
('latin', 'square')
('assisted', 'living')
('land', 'cover')
('polarimetric', 'SAR')
('coalition', 'formation')
('hough', 'transform')
('rapid', 'prototyping')
('augmented', 'reality')
('call', 'admission')
('lattice', 'boltzmann')
('particle', 'swarm')
('gradient', 'descent')
('sliding', 'mode')
('spoken', 'dialogue')
('factor', 'affecting')
('load', 'balancing')
('present', 'future')
('sufficient', 'condition')
('supply', 'chain')
('maximum', 'likelihood')
('selected', 'paper')
('factor', 'influencing')
('hidden', 'markov')
('elliptic', 'curve')
('nm', 'CMOS')
('vertex', 'cover')
('lung', 'cancer')
('special', 'section')
