('inline', 'tex', 'tex')
('formula', 'inline', 'tex')
('synthetic', 'aperture', 'radar')
('past', 'present', 'future')
('revised', 'selected', 'paper')
('artificial', 'bee', 'colony')
('word', 'sense', 'disambiguation')
('unmanned', 'aerial', 'vehicle')
('guest', 'editor', 'introduction')
('nonnegative', 'matrix', 'factorization')
('elliptic', 'curve', 'cryptography')
('carrier', 'frequency', 'offset')
('traveling', 'salesman', 'problem')
('magnetic', 'resonance', 'imaging')
('guest', 'editorial', 'special')
('radial', 'basis', 'function')
('heart', 'rate', 'variability')
('named', 'entity', 'recognition')
('ant', 'colony', 'optimization')
('job', 'shop', 'scheduling')
('discontinuous', 'galerkin', 'method')
('ordinary', 'differential', 'equation')
('rayleigh', 'fading', 'channel')
('systematic', 'literature', 'review')
('electronic', 'health', 'record')
('monte', 'carlo', 'simulation')
('minimum', 'spanning', 'tree')
('visible', 'light', 'communication')
('blind', 'source', 'separation')
('singular', 'value', 'decomposition')
('particle', 'swarm', 'optimization')
('bee', 'colony', 'algorithm')
('editorial', 'special', 'issue')
('introduction', 'special', 'issue')
('electronic', 'medical', 'record')
('world', 'wide', 'web')
('analytic', 'hierarchy', 'process')
('conditional', 'random', 'field')
('reversible', 'data', 'hiding')
('call', 'admission', 'control')
('extended', 'kalman', 'filter')
('key', 'agreement', 'protocol')
('social', 'networking', 'site')
('monte', 'carlo', 'method')
('secret', 'sharing', 'scheme')
('empirical', 'mode', 'decomposition')
('sliding', 'mode', 'control')
('graphic', 'processing', 'unit')
('magnetic', 'resonance', 'image')
('discrete', 'wavelet', 'transform')
('facial', 'expression', 'recognition')
('partial', 'differential', 'equation')
('hidden', 'markov', 'model')
('support', 'vector', 'machine')
('association', 'rule', 'mining')
('deep', 'convolutional', 'neural')
('markov', 'random', 'field')
('maximum', 'likelihood', 'estimation')
('principal', 'component', 'analysis')
('statistical', 'machine', 'translation')
('random', 'number', 'generator')
('time', 'series', 'forecasting')
('cooperative', 'spectrum', 'sensing')
('spectrum', 'sensing', 'cognitive')
('group', 'decision', 'making')
('supply', 'chain', 'management')
('sensing', 'cognitive', 'radio')
('wireless', 'body', 'area')
('boundary', 'value', 'problem')
('spoken', 'dialogue', 'system')
('support', 'vector', 'regression')
('dynamic', 'load', 'balancing')
('gene', 'regulatory', 'network')
('gaussian', 'mixture', 'model')
('extreme', 'learning', 'machine')
('shop', 'scheduling', 'problem')
('natural', 'language', 'processing')
('software', 'product', 'line')
('big', 'data', 'analytics')
('rough', 'set', 'theory')
('clinical', 'decision', 'support')
('constraint', 'satisfaction', 'problem')
('local', 'binary', 'pattern')
('spanning', 'tree', 'problem')
('finite', 'element', 'method')
('gene', 'expression', 'data')
('intelligent', 'tutoring', 'system')
('independent', 'component', 'analysis')
('open', 'source', 'software')
('vehicular', 'ad_hoc', 'network')
('multiple', 'sequence', 'alignment')
('linked', 'open', 'data')
('remote', 'sensing', 'image')
('MAC', 'protocol', 'wireless')
('discrete', 'event', 'simulation')
('markov', 'decision', 'process')
('agile', 'software', 'development')
('artificial', 'immune', 'system')
('finite', 'state', 'machine')
('petri', 'net', 'model')
('cognitive', 'radio', 'network')
('body', 'area', 'network')
('web', 'service', 'composition')
('human', 'action', 'recognition')
('continuous', 'speech', 'recognition')
('vehicle', 'routing', 'problem')
('recurrent', 'neural', 'network')
('hopfield', 'neural', 'network')
('linear', 'discriminant', 'analysis')
('high', 'dynamic', 'range')
('convolutional', 'neural', 'network')
('massive', 'MIMO', 'system')
('data', 'envelopment', 'analysis')
('output', 'feedback', 'control')
('basis', 'function', 'neural')
('molecular', 'dynamic', 'simulation')
('RBF', 'neural', 'network')
('delay', 'tolerant', 'network')
('spiking', 'neural', 'network')
('service', 'oriented', 'architecture')
('feedforward', 'neural', 'network')
('problem', 'time', 'window')
('hyperspectral', 'image', 'classification')
('design', 'space', 'exploration')
('artificial', 'neural', 'network')
('mobile', 'robot', 'navigation')
('wireless', 'sensor', 'network')
('autonomous', 'mobile', 'robot')
('medium', 'access', 'control')
('differential', 'evolution', 'algorithm')
('dynamic', 'spectrum', 'access')
('robust', 'speech', 'recognition')
('human', 'activity', 'recognition')
('automatic', 'speech', 'recognition')
('formal', 'concept', 'analysis')
('mobile', 'ad_hoc', 'network')
('remote', 'sensing', 'data')
